memory.used [MiB], utilization.gpu [%]
897 MiB, 0 %
897 MiB, 16 %
911 MiB, 34 %
911 MiB, 0 %
912 MiB, 44 %
916 MiB, 43 %
919 MiB, 40 %
936 MiB, 27 %
936 MiB, 6 %
932 MiB, 11 %
931 MiB, 0 %
1345 MiB, 13 %
8625 MiB, 91 %
8668 MiB, 6 %
9168 MiB, 65 %
9163 MiB, 63 %
9163 MiB, 63 %
9155 MiB, 64 %
9155 MiB, 64 %
9152 MiB, 64 %
9152 MiB, 65 %
9152 MiB, 66 %
9162 MiB, 66 %
9162 MiB, 68 %
9161 MiB, 63 %
9160 MiB, 64 %
9160 MiB, 64 %
9158 MiB, 64 %
9158 MiB, 65 %
9157 MiB, 65 %
9156 MiB, 65 %
9156 MiB, 65 %
9158 MiB, 64 %
9158 MiB, 64 %
9157 MiB, 66 %
9156 MiB, 67 %
9160 MiB, 67 %
9162 MiB, 67 %
9162 MiB, 68 %
9161 MiB, 69 %
9160 MiB, 63 %
9156 MiB, 63 %
9162 MiB, 64 %
9162 MiB, 64 %
9160 MiB, 65 %
9160 MiB, 65 %
9160 MiB, 65 %
9162 MiB, 66 %
913 MiB, 7 %
912 MiB, 7 %
911 MiB, 12 %
920 MiB, 13 %
922 MiB, 2 %
922 MiB, 19 %
